ID;Nombre;Tipo;Cantidad;Ubicacion;FechaAdquisicion
1;"Resistor 10kΩ";"Electrónico";100;"Cajón A1";"2024-01-10"
2;"Capacitor 100nF";"Electrónico";80;"Cajón A1";"2024-01-12"
3;"Diodo 1N4148";"Electrónico";150;"Cajón A2";"2024-02-01"
4;"LED Rojo 5mm";"Electrónico";200;"Cajón A2";"2024-03-05"
5;"Transistor 2N3904";"Electrónico";120;"Cajón A3";"2024-03-10"
6;"Potenciómetro 10k";"Electrónico";15;"Cajón B1";"2024-02-20"
7;"Motor DC 6V";"Electrónico";10;"Estante B2";"2024-03-03"
8;"Sensor HC-SR04";"Sensor";12;"Estante C1";"2024-02-28"
9;"Arduino Uno";"Microcontrolador";4;"Estante C2";"2023-11-22"
10;"Protoboard";"Herramienta";10;"Estante C3";"2023-12-10"
11;"Raspberry Pi Pico";"Microcontrolador";6;"Estante C2";"2024-01-30"
12;"Relé 5V";"Electrónico";30;"Cajón A3";"2024-01-11"
13;"Cable Dupont (m/m)";"Accesorio";300;"Cajón A1";"2024-01-05"
14;"Cable Dupont (h/h)";"Accesorio";300;"Cajón A1";"2024-01-05"
15;"Batería 9V";"Electrónico";25;"Estante D1";"2024-02-10"
16;"Multímetro Digital";"Instrumento";3;"Mesa Taller";"2023-12-10"
17;"Osciloscopio";"Instrumento";1;"Mesa Taller";"2023-09-10"
18;"Fuente DC 30V";"Instrumento";2;"Mesa Taller";"2023-09-10"
19;"Sensor PIR SR505";"Sensor";20;"Estante C1";"2024-01-05"
20;"Sensor DHT11";"Sensor";15;"Estante C1";"2024-01-08"
21;"Sensor DHT22";"Sensor";10;"Estante C1";"2024-01-08"
22;"ESP32-CAM";"Microcontrolador";7;"Estante C2";"2024-02-01"
23;"ESP8266";"Microcontrolador";10;"Estante C2";"2024-02-02"
24;"Cámara Web USB";"Computación";5;"Estante D2";"2023-11-11"
25;"Router TP-Link";"Red";3;"Estante D2";"2023-12-01"
26;"Switch Lógico";"Electrónico";100;"Cajón A4";"2024-01-22"
27;"Cables USB";"Accesorio";30;"Cajón B3";"2023-12-28"
28;"Rollo Cinta Aislante";"Herramienta";20;"Cajón B3";"2023-12-30"
29;"Soldador 60W";"Herramienta";2;"Mesa Taller";"2023-12-15"
30;"Estaño";"Consumible";10;"Cajón B1";"2023-12-15"
31;"Alcohol Isopropílico";"Limpieza";4;"Estante E1";"2024-01-02"
32;"Guantes Nitrilo";"Laboratorio";200;"Armario F1";"2024-01-01"
33;"Termómetro Digital";"Laboratorio";3;"Estante E2";"2023-12-10"
34;"Placa de Calentamiento";"Laboratorio";1;"Estante E3";"2023-11-20"
35;"Cronómetro";"Laboratorio";2;"Cajón B4";"2023-12-09"
36;"Lupa de Banco";"Herramienta";2;"Mesa Taller";"2023-10-15"
37;"Extensión Eléctrica";"Hogar";8;"Estante D1";"2023-10-10"
38;"Bombillo LED 12W";"Hogar";20;"Estante D1";"2023-09-10"
39;"Tomacorriente";"Hogar";40;"Estante D1";"2023-09-10"
40;"Interruptor de Pared";"Hogar";40;"Estante D1";"2023-09-10"
41;"Control Remoto IR";"Electrónico";15;"Cajón A2";"2024-02-01"
42;"Buzzer 5V";"Electrónico";40;"Cajón A3";"2024-02-03"
43;"Servo SG90";"Electrónico";15;"Cajón A3";"2024-02-10"
44;"Switch de Palanca";"Electrónico";50;"Cajón A4";"2024-02-11"
45;"Jack DC 5.5mm";"Electrónico";60;"Cajón A4";"2024-02-11"
46;"Pinzas de Cocodrilo";"Accesorio";50;"Cajón B3";"2024-01-01"
47;"Termistor NTC 10k";"Sensor";80;"Cajón A2";"2024-01-20"
48;"sapo";"hijueputa";1;"casa";"2025-08-21"
